dbo,MyTempTable,1,Pno,int,4,10,0,0,NULL
dbo,MyTempTable,2,ProjFUrl,nvarchar,-1,0,0,1,NULL
dbo,MyTempTable,3,ProjSUrl,nvarchar,-1,0,0,1,NULL
dbo,MyTempTable,4,Status,nvarchar,100,0,0,1,NULL
dbo,Sheet1$,1,CFG_JT_ID,float,8,53,0,1,NULL
dbo,Sheet1$,2,CFG_JT_AgentCode,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,3,CFG_JT_JobTypeCode,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,4,CFG_JT_Description,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,5,CFG_JT_JobNoPrefix,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,6,CFG_JT_IsBillingJob,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,7,CFG_JT_WBSCode,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,8,CFG_JT_SAPInternalOrderSuffix,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,9,CFG_JT_CreatedBy,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,10,CFG_JT_CreationDate,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,11,CFG_JT_LastModifyBy,nvarchar,510,0,0,1,NULL
dbo,Sheet1$,12,CFG_JT_LastModifiedDate,nvarchar,510,0,0,1,NULL
dbo,SyncActionLog,1,Id,int,4,10,0,0,NULL
dbo,SyncActionLog,2,Module,nvarchar,100,0,0,1,NULL
dbo,SyncActionLog,3,LastExecutionDate,datetime,8,23,3,1,NULL
dbo,SyncActionLog,4,Status,nvarchar,100,0,0,1,NULL
dbo,SyncActionLog,5,Message,nvarchar,-1,0,0,1,NULL
dbo,SyncActionLog,6,LogType,int,4,10,0,1,NULL
dbo,SyncActionLogDetail,1,Id,int,4,10,0,0,NULL
dbo,SyncActionLogDetail,2,SyncActionLogId,int,4,10,0,1,NULL
dbo,SyncActionLogDetail,3,Module,nvarchar,100,0,0,1,NULL
dbo,SyncActionLogDetail,4,ModuleId,nvarchar,100,0,0,1,NULL
dbo,SyncActionLogDetail,5,Status,nvarchar,100,0,0,1,NULL
dbo,SyncActionLogDetail,6,ExecutionDate,datetime,8,23,3,1,NULL
